,Initially reopened restaurants for outdoor dining only,
,Reopened gyms,
,Reopened movie theaters,
,Reopened hair salons/barber shops,
,Reopened religious gatherings,
,Reopened other non-essential businesses,
,Reopened bars,
,Reopened day cares,
,Reopened casinos,
,Allowed businesses to reopen overnight,
Second Closures,Began to re-close bars,6/7/2021
,Closed bars x2,
,Closed movie theaters x2,
,Closed gyms x2,
,Closed hair salons/barber shops x2,
,Closed restaurants x2,
,Closed casinos x2,
Second Reopening,Reopened restaurants x2,6/7/2021
,Reopened bars x2,
,Reopened gyms x2,
,Reopened movie theaters x2,
,Reopened casinos x2,
Third Closures,Closed bars x3,6/7/2021
,Closed restaurants x3,
Third Reopening,Reopened bars x3,6/7/2021
,Reopened restaurants x3,
Face Masks,Face mask mandate in public spaces,8/27/2021
,Public face mask mandate x2,
,Face mask mandate enforced by fines,
,Face mask mandate enforced by criminal charge/citation,
,No legal enforcement of face mask mandate,
,Face mask mandate for employees of public-facing businesses,
,Face mask mandate ended for fully vaccinated,
,Face mask mandate resumed for fully vaccinated,
,Face mask mandate resumed with exemptions,
,Face mask mandate in schools for 2021-22 school year,
,Ended face mask mandate,
,Ended face mask mandate x2,
,Face mask mandate currently in place,
,Banned school face mask mandates,
,Banned other local face mask mandates,
,Judicial decision blocked state from enforcing bans on face mask mandates in schools,
Face Masks Post-June 2021,Face mask mandate end for vaccinated and/or unvaccinated,8/27/2021
,Face mask mandate resumed after June 2021,
,Face mask mandate resumed with exemptions,
,Face mask mandate resumed after June 2021 x2,
,Face mask mandate ended after June 2021,
,Face mask mandate ended after June 2021 x2,
,Face mask mandate currently in place,
,Face mask mandate in schools for 2021-22 school year,
,Banned school face mask mandates,
,Banned other local face mask mandates,
,Judicial decision blocked state from enforcing bans on face mask mandates in schools,
Interstate Travel Quarantines,Mandated quarantine for those entering the state from specific settings,7/23/2021
,Mandated quarantine for all individuals entering the state,
,Date all mandated quarantines ended,
"Housing & Utilities policy data presented in collaboration with: Benfer EA, Koehler R, Alexander AK. COVID-19 Eviction Moratoria & Housing Policy: Federal, State, Commonwealth, and Territory. Published 2021. To access the full COVID-19 Eviction Moratoria & Housing Policy dataset (updated to March 1, 2022), please visit https://www.openicpsr.org/openicpsr/project/157201/version/V1/view.",,
Housing,First overall eviction moratorium start,9/1/2021
,First overall eviction moratorium end,
,Second overall eviction moratorium start,
,Second overall eviction moratorium end,
,Third overall eviction moratorium start,
,Third overall eviction moratorium end,
,Eviction moratorium currently in place,
,First eviction initiation ban start,
,First eviction initiation ban end,
,Second eviction initiation ban start,
,Second eviction initiation ban end,
,First eviction hearing ban start,
,First eviction hearing ban end,
,Second eviction hearing ban start,
,Second eviction hearing ban end,
,First eviction enforcement ban start,
,First eviction enforcement ban end,
,Second eviction enforcement ban start,
,Second eviction enforcement ban end,
,COVID-19 hardship limitation start,
,COVID-19 hardship limitation end,
,Second COVID-19 hardship limitation start,
,Second COVID-19 hardship limitation end,
,Non-payment limitation start,
,Non-payment limitation end,
,Second non-payment limitation start,
,Second non-payment limitation end,
,CARES Act pleading start,
,CARES Act pleading end,
,CDC moratorium start,
,CDC moratorium end,
,First late fee ban start,
,First late fee ban end,
,Second late fee ban start,
,Second late fee ban end,
Utilities,Utilities shutoff moratorium start,9/1/2021
,Utilities shutoff moratorium expiration,
,Second utilities shutoff moratorium start,
,Utilities reconnection start,
,Utilities reconnection end,
"Housing & Utilities policy data presented in collaboration with: Benfer EA, Koehler R, Alexander AK. COVID-19 Eviction Moratoria & Housing Policy: Federal, State, Commonwealth, and Territory. Published 2021. To access the full COVID-19 Eviction Moratoria & Housing Policy dataset (updated to March 1, 2022), please visit https://www.openicpsr.org/openicpsr/project/157201/version/V1/view.",,
Unemployment Insurance,"Prior to pandemic, no state unemployment waiting period or date waiting period waived not found",5/28/2021
,Waived one week waiting period for unemployment insurance,
,Waived work search requirement for unemployment insurance,
,Reinstated work search requirement,
,Expanded eligibility of unemployment insurance to anyone who is quarantined and/or taking care of someone who is quarantined,
,Expanded eligibility to high-risk individuals in preventative quarantine,
,Expanded eligibility of unemployment insurance to those who have lost childcare/school closures,
,Extended the amount of time an individual can be on unemployment insurance,
,Weekly unemployment insurance maximum amount (dollars),
,"Weekly unemployment insurance maximum amount with extra stimulus (through July 21, 2020) (dollars)",
,2020-2021 unemployment insurance maximum duration (weeks),
,Extended Benefits program activated,
,Extended Benefits program deactivated,
,Extended Benefits program activated x2,
,Total Unemployment Rate at Extended Benefits program shutoff,
,Total Unemployment Rate relative to prior year,
,Total Unemployment Rate relative to second prior year,
,20-week Extended Benefits program activated,
,20-week Extended Benefits program deactivated,
,20-week Extended Benefits program activated x2,
,Stopped participating in pandemic-related federal unemployment benefit programs,
Pre-COVID UI Monetary Eligibility Thresholds,Minimum total earnings required in the base period to qualify for UI,N/A
,Number of calendar quarters with earnings in the base period needed to qualify for UI,
,Minimum total earnings required outside the highest earning calendar quarter of the base period to qualify for UI,
,Require earnings in the last two calendar quarters of the base period in order to qualify for UI,
,Earnings in base period required to receive a $300 weekly benefit amount for UI,
,Taxable Wage Amount,
,Minimum Tax Rate (%),
,Maximum Tax Rate (%),
,Average Benefit Amount (August),
Workplace Protections,OSHA-approved state plan,5/14/2021
,State department in charge of enforcing programs,
,Aerosol transmissable disease standards,
,Air or ventilation standards,
,Permanent paid sick leave SI program prior to COVID-19,
,Permanent paid family and medical leave SI program prior to COVID-19,
,Permanent paid sick leave SI program since COVID-19,
,Permanent paid family and medical leave SI program since COVID-19,
,Temporary COVID-19-specific paid leave expansions,
,COVID-19 anti-retaliation rules,
,COVID-19 business liability protections,
,COVID-19 liability protections for healthcare workers,
,Branch of government implementing COVID-19 liability rules,
,COVID-19 workers' compensation expansion,
,Types of workers eligible for workers' compensation expansion,
,Data reporting required for medical treatment,
,Minimum number of work days missed by workers to require data reporting,
,"Occupational injuries, illnesses, and fatalities reporting prior to pandemic",
Minimum Wage,Jan 1 2019 minimum wage,3/29/2021
,Mar 29 2019 minimum wage,
,Jul 1 2019 minimum wage,
,Oct 1 2019 minimum wage,
,Jan 1 2020 minimum wage,
,Jul 1 2020 minimum wage,
,Sep 1 2020 minimum wage,
,Oct 1 2020 minimum wage,
,Tipped minimum wage 2020,
,Small business minimum wage 2020,
Food Security,SNAP Waiver - Emergency Allotments to Current SNAP Households,3/25/2021
,SNAP Waiver - Pandemic EBT during school year 2019-2020,
,SNAP Waiver - Pandemic EBT during school year 2020-2021,
,SNAP Waiver - Pandemic EBT during summer 2021,
,SNAP Waiver - Temporary Suspension of Claims Collection,
,2020 Q1 SNAP ABAWD Time Limit Waiver,
Healthcare Delivery,Modify Medicaid requirements with 1135 waivers (date of CMS approval),3/15/2021
,Reopened ACA enrollment using a special enrollment period ,
,State previously allowed audio-only telehealth,
,Allowed audio-only telehealth,
,Allowed/expanded Medicaid telehealth coverage,
,State had CHIP premium non-payment lock-out period as of January 2019,
,Suspended CHIP premium non-payment lock-outs,
,Suspended elective medical procedures,
,Made effort to limit abortion access,
,Resumed elective medical procedures,
,Suspended elective medical procedures x2,
,Resumed elective medical procedures x2,
Racial Disparities,Report COVID-19 breakthrough cases,8/31/2021
,Report COVID-19 testing by race/ethnicity,
,Report COVID-19 cases by race/ethnicity,
,Report COVID-19 hospitalizations by race/ethnicity,
,Report COVID-19 deaths by race/ethnicity,
,Report COVID-19 vaccinations by race/ethnicity,
,Report COVID-19 breakthrough cases by race/ethnicity,
,Report AI/AN COVID-19 testing,
,Report AI/AN COVID-19 cases,
,Report AI/AN COVID-19 hospitalizations,
,Report AI/AN COVID-19 deaths,
,Report AI/AN COVID-19 vaccinations,
Incarcerated Individuals,Stopped personal visitation in state prisons,7/23/2021
,Stopped legal visitation in state prisons,
,Began to resume visitation in state prisons,
,Stopped visitation in state prisons x2,
,Resumed visitation in state prisons x2,
,Does not charge copays for incarcerated individuals,
,Waived COVID/respiratory illness-related copays during pandemic for incarcerated individuals,
,Waived all copays during pandemic for incarcerated individuals,
,Did not waive copays for incarcerated individuals,
Substance Use Disorder Policies,Use of telemedicine/telephone evaluations to initiate buprenorphine prescribing,4/13/2020
,Patients can receive 14-28 take-home doses of opioid medication,
,Home delivery of take-home medication by opioid treatment programs,
,Use of telemedicine for schedule II-V prescriptions,
,Exceptions to emergency oral prescriptions,
,Waive requirement to obtain separate DEA registration to dispense outside home state,
Alcohol and Firearms,Liquor stores remained open,4/27/2020
,Allowed restaurants to sell takeout alcohol ,
,Allowed restaurants to deliver alcohol,
,Firearm sellers remained open,
Vote By Mail,"COVID-19 is not an acceptable reason to request application for mail-in ballot unless sick or exposed (as of September 16, 2020)",9/8/2020
,"Witness or notary signature required for mail-in ballot (as of September 1, 2020)",
,Permanent mail-in ballot system,
,Automatic mail-in ballot system in response to COVID-19,
,Automatic applications sent for mail-in ballots in response to COVID-19,
,Last date of receipt of mail-in ballot request for the general election (by mail or online),
State Characteristics,Population density per square miles,N/A
,Population 2018,
,Square Miles,
,Number Homeless (2019),
,Percent Unemployed (2018),
,Percent living under the federal poverty line (2018),
,Percent at risk for serious illness due to COVID,
,All-cause deaths 2018,
,"Mental health professionals per 100,000 population in 2019",
,Were there casino(s) in State? (Land and Non-Land based),
,State has at least one American Indian/Alaskan Native reservation,
,Medicaid expansion,
Codebook,Definitions of variables in the database,12/16/2021
,,
,,
,,
Information,,
,,
Link to archived data in original format:,https://docs.google.com/spreadsheets/d/e/2PACX-1vQCcbhaOMcxbv3Hk9e5kA72S047KkTlECgJHfP6bsJj46G0aM-fu7CI_iJDt32faPw87Kmwid7HANJI/pubhtml,
"Data track dates of policy implementation, rather than when policies were passed",,
"We only record orders or directives, not guidance or recommendations",,
We only record state-wide orders,,
"We are working quickly to go through state government websites to make the policy database as complete and accurate as possible in a rapidly changing policy context. If you use data on a given policy, we encourage you to triangulate based on additional sources of policy data and to review the source documentation to consider the coding decisions that are right for your work. Of course, please email us if you note a discrepancy so we can improve the database for everyone",,
We regularly review policies and work to keep them as up to date as possible. We note the date of the last comprehensive review at the top of this page. State-by-state reviews happen on a more frequent basis as documented in the changelog.,,
State policy source documentation can be found here: ,tinyurl.com/statepolicysources,
,,
,,
Suggested citation:,,
"Raifman J, Nocka K, Jones D, Bor J, Lipson S, Jay J, and Chan P. (2020). ""COVID-19 US state policy database."" Available at: www.tinyurl.com/statepolicies",,
,,
Lead contacts for questions or suggested modifications:,,
,,
Julia Raifman,jraifman@bu.edu,
Assistant Professor,,
"Department of Health Law, Policy & Management",,
Boston University School of Public Health,,
,,
Alexandra Skinner,skinnera@bu.edu,
Research Fellow & Database Manager,,
"Department of Health Law, Policy & Management",,
Boston University School of Public Health,,
,,
Funding:,,
Robert Wood Johnson Foundation Evidence for Action ,,
Boston University Clinical & Translational Science Institute,,
The Pew Charitable Trusts (funds COVID-19 housing & utilities policy research),,
,,
,,
Contributing faculty and fellows:,,
"Julia Raifman, ScD",Boston University,
"Kristen Nocka, MPH",Boston University,
"David Jones, PhD",Boston University,
"Jacob Bor, ScD",Boston University,
"Sarah Ketchen Lipson, PhD",Boston University,
"Jonathan Jay, DrPH, JD",Boston University,
"Philip Chan, MD",Brown University,
"Megan Cole Brahim, PhD",Boston University,
"Noa Krawczyk, PhD",NYU Langone Health,
"Emily A Benfer, JD, LLM",Wake Forest University,
"Rachel Scheckman, MPH",Boston University,
"Alexandra Skinner, MPH",Boston University,
"Will Raderman, MSc",Boston University,
,,
Contributing students:,,
"Claire Sontheimer, MPH, MSW",Boston University,
"Elizabeth Ferrara, MPH",Boston University,
Pierce Louis,Boston University,
Rosemary Raymundo,Boston University,
Kelsey Flannery,Boston University,
"Cheyenne Bailey, MPH",Boston University,
Hayden Tutty,Boston University,
Caredwen Foley,Boston University,
"Ure Nnanabu, MPH",Boston University,
"Aarohi Rede, MPH",Boston University,
"Aishwarya Vidyasagaran, MBBS, MPH",University of York,
"Andrew Chiao, MPH",Boston University,
"Cara Safon, MPH",Boston University,
Carolyn Hoffman,Boston University,
Christina Fuleihan,Boston University,
Christina Wang,New York University,
Claire Corkish,Boston University,
Daisy Ramirez,Boston University,
Elizabeth Long,Boston University,
Emily Baroni,Boston University,
Emma Chistolini,Colby College,
Faith Contador,Boston University,
Felicia Heykoop,Boston University,
Grace Yoon,Boston University,
Hana Do,Boston University,
Hannah Simon,Boston University,
Harry Jung,Bowdoin College,
Joel Earlywine,Boston University,
Kaitlin Schalago,Boston University,
Manish Patel,Boston University,
María Jordán P.,Boston University,
Marie Vearling,Boston University,
Meriama Moutik,Consultant,
Marina MacKinnon,Bowdoin College,
"Morgan Simko, MPH",Boston University,
Samantha Burkhart,Boston University,
Sarah Brewer,Boston University,
Sophie Li,Boston University,
Sue Kulkarni,Boston University,
"Tim Levengood, MPH",Boston University,
Victor Lee,Bowdoin College,
Yuqing Bai,Boston University,
,,
Housing policy student researchers:,,
Valerie Achille,,
Karna Adam,,
Kerim Aksoy,,
Yesenia Arroyo,,
Dionna Attinson,,
Katharine Batchelor,,
Olivia Berci,,
Melissa Berouty,,
Alex Boros,,
Annelise Brinck-Johnsen,,
Likhitha Butchireddygari,,
Perry Cao,,
Wang Chen,,
Andrea Cho,,
Nate Christiansen,,
Sydney Cogswell,,
Susannah Cohen,,
Arabella Colombier,,
Cara Cook,,
Brian Daza,,
Ross Dispenza,,
Katherine Donohue,,
Emily Drake,,
Hannah Edge,,
Paul Fangrow,,
Shannon Ferrie,,
Susan Fleurant,,
Harry Frank,,
Natalie Galdos,,
Derek Gehring,,
Braedan Gillman,,
Libby Glass,,
Shravya Govindgari,,
Josue Guerra,,
Mia Gugliemi,,
Jocelyn Hassel,,
Taylor Hertzler,,
Jacob (Jake) Hewitt,,
Ruth Hirsch,,
Ryan Hopfe,,
Kyla Howard,,
Isaac Hudis,,
Wiley Hughes,,
Aaliyah Hyacinthe,,
Delaney James,,
Ty Jameson,,
Tom Joa,,
Daniel Johnson,,
Alia Joseph,,
Abby Karol,,
Jennifer Katz,,
Caitlin Kelly,,
Ellen Kim,,
Rob Koehler,,
Charles Koepp,,
Jacob Kornman,,
Suz Kroeber,,
Rani Kulkarni,,
John LaBarre,,
Michelle Lappen,,
Connie Lee,,
Xyzlo Lee,,
Nicole Levy,,
Jordan Lieberman,,
Mary Virginia Long,,
Marissa Yochelson Long,,
Ryan Madden,,
Josh Malkin,,
Isabel Malmazuda,,
Sarah McElwee,,
Tatum Millet,,
Mie Morikubo,,
Justice Mullen,,
Vanessa Okoyeh,,
Olivia Osburn,,
Manning Peeler,,
Elie Peltz,,
Justin Porter,,
Shannon Porterfield,,
Shannon Price,,
Susannah Price,,
Alex Price,,
Echo Qian,,
Harrison Reif,,
Jacob Roth,,
Nika Sabasteanski,,
Karen Saeed,,
Edgar Santiago,,
Andrew Savage,,
Austin Scherer,,
Kristen Schnell,,
Arthur Schoen,,
Shayna Servillas,,
Shiven Shah,,
Catherine Sims,,
Ethan Slabosky,,
Clayton Smith,,
Melissa Smith,,
Esther Stefanini,,
Janki Tailor,,
Emilia Todd,,
Kimberly Tomkies,,
Ethan Trice,,
Natalie Walters,,
Alexandra Warnock,,
Ashley Willard,,
Malikah Williams,,
Meg Wilson,,
Jacqueline Winters,,
Wendy Xiao,,
Amanda Yu,,
Nora Zakaria,,
Lanlie Zheng,,
Jenny Zhou,,
Gabriel Zimmerman,,
